Id,Number,SubjectId,Title,CreditHours,Description
97744585-87e3-4616-8a1f-bff2ab88471b,09200,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice II,0,
631d471f-f14b-47b1-a43f-1efae5ec584a,09300,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice III,0,
5237a73f-f2db-4130-8cc8-33f03a1bab55,09400,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice IV,0,
1782c85f-49f5-4b08-ad99-62910a6794bd,09500,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice V,0,
5f26945a-ff4b-429a-8cb7-37cdba96e319,10100,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Digital Literacy,3,
702c11e3-90fd-4d93-862b-b38c8fbcb6a0,11000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Introduction To Computers,3,
fe18ad80-74c4-4144-b37f-7c7966ca95cd,15800,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,C Programming,3,Labs meet with CS 15900 labs.
9a2ffab0-3616-46fe-994e-24a935ba6d9a,15900,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,C Programming,3,Supplemental Instruction (SI) study sessions are available for students in this course. Evening Exams Required.
95617dcd-7e7f-459f-bff5-f6e6b4aba7b1,15900,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Programming Applications For Engineers,3,
d4d8ed19-ee18-45ca-8204-b7028897b033,15900,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Prog Appl For Enginrs-Honors,3,
3c614547-a115-4ad1-a586-519ad9f47773,17600,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Data Engineering In Python,3,
e98afbee-2811-4521-9088-aeffd9829bbb,17700,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Programming With Multimedia Objects,4,
24508954-e0bc-407f-a823-ff348a51ac99,18000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Problem Solving And Object-Oriented Programming,4,"Students registering for this course must be in the CS BS program.  Newly admitted CS-BS students must enroll in linked sections. Supplemental Instruction (SI) study sessions are available for students in this course., Supplemental Instruction (SI) study sessions are available for students in this course."
69dd67ff-3bca-459c-9411-310b95a90568,18200,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Foundations Of Computer Science,3,
54528632-9b62-4976-8d11-a338f5320f74,18300,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice I,0,
d40c67e4-45d4-4e4e-a46a-027b73795a6f,18400,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Professional Practice II,0,
1bc4496e-781b-46da-a9a6-e35cb08e8e88,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Intro To Visual Programming,3,
fc7b21b8-daa7-4e0f-a147-32141f42b752,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Tools,1,"""This course introduces students to various programming tools which will aid them in their Computer Science classes, personal projects, and software development job experiences. After successfully completing this course a student will understand how to (1) use Unix/Linux commands for navigating directories and files and manipulating files and folders (2) use terminal commands for searching and input/output redirection (3) use shells such as sh, csh, ksh, tcsh, bash, zsh (4) do debugging via print statements and general debugger concepts (5) use version control via Git and Github, source control, workflow, commit, collaboration, pull, push, create and pushing a new repository, cloning, branches, merging, and conflicts (6) use vim including mouseless navigation, normal/insert mode, copy/paste, search/replace, and saving/quitting. """
cf4f83cd-34d3-495e-aaa2-a710545a53c2,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Contempory Issues Computing,1,
d67c8e2b-317b-4460-bde7-af8f3e13500c,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Plagiarism Detection Research,0,
52b188e1-4065-4ada-9862-b38fb327e8eb,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Topics In Computer Sciences,1,
40c4b46c-f793-435a-aa64-8ddfc40c0090,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Intro To Professional Practice,1,
c58b896d-d81a-4699-a1e3-52b56f388353,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Introduction To Programming,2,Distance Learning
93d64a99-88ef-4d5c-b15a-a1754fdd39df,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Topics In CS,0,
16a20b48-394c-4e78-9bde-c2edb66a1a53,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,AI Code Assistants Sec/Priv,0,
3643d85d-2ee2-4c6c-a8b0-d0025a8e1e72,19000,86ad8a59-6ddc-4067-9f6b-169c8eec86a6,Learning Community Seminar,1,
